;id;name;area
336;5683373;IT Solutions Management International Pte. Ltd.;233
337;14482;СТЭК.КОМ;1
338;963694;Альдо;54
339;175910;Клерк.Ру;113
340;753017;ЕВРООПТ;1002
341;25;Deutsche Telekom IT Solutions;2
342;131539;ФТО;68
343;32995;Анкомп;1
344;5755;Авангард, АКБ;1
345;4308108;Biopic Medical LLC;4
346;3856;ТД Рублевский;1
347;77364;Петрович, Строительный Торговый Дом;2
348;798;Экспобанк;1
349;3178909;Sigma Pay;1
350;3455245;Alber Blanc;2
351;802210;НеоБИТ;2
352;6301;Murano Software;2
353;6591;Промсвязьбанк;1
354;46387;АТОН;1
355;49700;RoRe Group;1
356;3730831;Borzo;1
357;2897912;Бюджетное учреждение здравоохранения Воронежской области Воронежская городская больница №16;26
358;1469884;Микросан;4
359;152274;СПб ГУП «АТС Смольного»;2
360;544224;Группа Компаний Аскона;23
361;5557060;Фонд поддержки Инноваций в Научно-Технической Сфере;1
362;1753419;Plarium;1438
363;3509758;Evercode Lab;2
364;575393;Т8;113
365;87021;WILDBERRIES;1
366;654795;ПроКонтекст;1
367;589;БАНК ИНТЕЗА;1
368;81391;S.F. Group;1
369;1758157;Айти-Солюшнс;1
370;2235841;АКВАСТОК;53
371;4872;Т1 Интеграция;1
372;1756231;Интеллектуальный Поиск;1
373;1435226;ГУП Мосгортранс;1
374;638130;Формат кода;2
375;89117;Триколор;2
376;9281;JetBrains;2
377;49556;Dell Technologies, Центр Разработок;2
378;2568447;Велес;237
379;114448;Playrix;25
380;582248;Консист-ОС;1
381;2746;ДИКСИ, группа компаний;1
382;1376;Технорос;2
383;4465166;ШАНС ТРЕЙД;26
384;86298;Intermedia;2
385;3776;МТС;1
386;234264;GridGain Systems;2
387;8178;Телеформ ИС;1
388;1413074;Техностар;2
389;1030953;Инвольта;32
390;2769132;СпецТех-ДВ;12
391;6093;ИНВИТРО;1
392;2199666;Открытие Инвестиции;1
393;2514425;RSS Ltd.;1
394;60977;Группа СВЭЛ;3
395;2677870;Netcracker Technology Corp.;1002
396;865513;ПивКо;3
397;3537780;Раймс Мьюзик;2
398;2312293;Фантазия-7;2
399;8550;Центр финансовых технологий;4
400;90597;ВОГ, Торговая компания;1
401;1384010;ЭкспоФорум Интернэшнл;2
402;3783;Банк Санкт-Петербург;2
403;584805;НОВОСИСТЕМ;1
404;751740;ВирусБлокАда;1002
405;5689215;Сборка;77
406;5530262;ФИНТЕХ СТАНДАРТ;1
407;71052;Мосводоканал;1
408;4469003;ГКУЗ Медицинский Информационно-Аналитический Центр Калининградской Области;41
409;132656;Аптечная сеть 36,6;1
410;6528;dentsu;113
411;28516;Сенатор, Сеть Бизнес-Центров;2
412;156424;ICL Services;88
413;4029257;РУСАЛ, Центр подбора персонала;54
414;2716;Intel Corporation;66
415;3945;Netcracker Technology Corp.;113
416;23494;РАМЭК - ВС;2
417;754682;Белитсофт интернешнл;1002
418;1191643;IDF Eurasia;1
419;2766831;Синергия;24
420;1871618;CloudPayments;1
421;1833;Компания БКС;1
422;92429;Страховая Компания Гелиос;1
423;157215;Федеральная сеть книжных магазинов Читай-город;1
424;4758725;7waysconsult;2
425;2097;ТВОЕ;1
426;1057;Лаборатория Касперского;1
427;1312113;Exness;1255
428;852361;Ростелеком - Центры обработки данных;1
429;2320555;Альфа-Развитие;1
430;373146;SkyNet;2
431;17275;Мираторг, Агропромышленный холдинг;113
432;59822;ГК КОРТРОС;1
433;4525399;Джи-Кор Кюэй;72
434;4900;Б1;113
435;50773;АВТОПОЛЕ;2
436;2661478;Emlid;2
437;3063;Информационное агентство России ТАСС;1
438;4257851;ТФОМС Республики Крым;131
439;3075451;МэпДэйта;1002
440;2283457;НТ Прогресс;1
441;2633;ТРАНСКАПИТАЛБАНК;1
442;49357;МАГНИТ, Розничная сеть;53
443;49817;ЛУИС+;1
444;3125;QIWI;1
445;4305039;Outlines Technologies;1
446;4971283;ППК Фонд развития территорий;1
447;846348;Гранель;1
448;48541;Aurus;4
449;3428081;Эквирон;71
450;2353;Силовые машины, Управляющая компания;2
451;4219;Tele2;1
452;2073316;Лаборатория Безопасных Систем;1
453;13545;Electrolux;1
454;2643808;«Баланс-Платформа»;1
455;2126242;Омск Карбон Могилев;1004
456;33822;Аптеки Столички;113
457;2509716;Изибрэйн;1002
458;6025;Независимая нефтегазовая компания;113
459;2428532;Toughbyte;1
460;4746710;Юникон Бизнес Солюшнс Акционерное Общество;1
461;51623;Projecto;88
462;356923;ФГБУ Клиническая больница Управления делами Президента Российской Федерации;1
463;2682;ФИНАМ;1
464;1962711;ИСА;53
465;5651835;Восхождение;1
466;4642753;Лого Груп;1
467;1994735;НПК ТИМ;2
468;3235686;Квадрат-С;1
469;211052;Аналитический центр при Правительстве Российской Федерации;1
470;3233751;Делимобиль;1
471;1189320;Бристоль, сеть магазинов;66
472;45732;DIMEX;76
473;22863;Протей, НТЦ;2
474;3132;Paragon Software;1
475;3905902;Правое Полушарие Интроверта;2
476;15092;Veeam Software;2
477;2990;Специализированный депозитарий ИНФИНИТУМ;1
478;61750;Головное подразделение Сибагро;90
479;51137;Сибирский Гурман, КП;4
480;1642322;Филиал ФГУП Охрана Росгвардии по Республике Башкортостан;99
481;2519221;Газэнергострой;90
482;5076748;Mobigility Inc.;85
483;54732;НАГ;3
484;1509111;Loymax;90
485;1276;ОКЕЙ – Федеральная розничная сеть;2
486;1910931;Торговый Дом Медицина Плюс;32
487;3942457;Семаргл;2
488;903783;Холдинг Монастырев;22
489;1090890;Держава недвижимость, ЮО;47
490;8620;Rambler&Co;1
491;1339158;Stackers;88
492;1861388;Группа компаний АвтокомТехнолоджи;1512
493;4388052;Таурус-Суппорт;2
494;668019;СимбирСофт;98
495;2992514;Москва Карго;1
496;838974;Aristos;1
497;139;IBS;1
498;2711957;НК-НЕФТЬ;1240
499;84585;Авито;113
500;566;OCS Distribution;2
501;4350075;ГК Innostage;88
502;2758937;Завод Гидропром;56
503;2148279;Агрохолдинг СТЕПЬ;76
504;2120460;TheSoul Publishing;236
505;1151579;Холдинг «Аэропорты Регионов»;1
506;177751;Аптечная сеть Максавит и 36,7;66
507;429;Samsung Research Russia;1
508;114054;BARONA;2
509;5033070;EMCD Tech LTD;2
510;3991678;Меркурио;1
511;3343;АТОЛ, группа компаний;1
512;4525814;ГАУ Парк Яуза;1
513;687811;PIPEMAN;53
514;3148;СИТИЛИНК;1
515;540836;ПиЭлСи Технолоджи;1
516;2524797;inDriver;1
517;4023;Райффайзен Банк;1
518;3491569;Криптонит;1
519;53235;Toyota Tsusho Tekhnika;1
520;214154;ГК АГАТ;66
521;2722;Группа компаний «БПЦ»;1
522;3809;СИБУР, Группа компаний;1
523;2731087;Клевер Технолоджи;1003
524;2948126;1С Гейм Студиос;1
525;2245;Росгосстрах;1
526;11580;Фармстандарт;1
527;50629;Deltaplan Group;3
528;237865;НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета);2
529;1449;Медиа Бизнес Солюшенс;1
530;1247499;РН-Транспорт;99
531;1106203;Линде Инжиниринг Рус;78
532;2836478;INSANE TECH;2759
533;235589;ГК Сети-Телеком;66
534;870036;Cloud4Y;1
535;3852;IEK GROUP;1
536;592645;APALON;1002
537;4584337;Зорра;76
538;922057;Ломбард-Л1;53
539;2503967;СЕНЛА;1006
540;80389;ЭВРИКА, Санкт-Петербург;2
541;4851908;ONELLECT;92
542;1028179;Корпорация «Проект-техника»;1
543;1648566;Консалтинг Групп;96
544;1583990;Мигас;1
545;2477764;DouDouGames;1
546;1107304;Глебовская Екатерина;2
547;83639;Профи (profi.ru);1
548;3000352;Правильный Выбор;64
549;2003415;Миранда-медиа;131
550;196621;FIX PRICE;1
551;3865565;HR-Bot;160
552;105621;РТ МИС;72
553;897066;НФК;95
554;830807;Раменское Приборостроительное Конструкторское Бюро;2065
555;3614747;Областное государственное бюджетное учреждение Челябинский региональный центр навигационно-информационных технологий;104
556;37171;Русская медная компания;3
557;15478;VK;1
558;805729;1С-ИжТиСи;96
559;3382445;Сервис Руки;1
560;4151200;Метр Квадратный;1
561;1375441;Okko;2
562;988387;Группа НЛМК;58
563;13;WiseAdvice;1
564;1916308;Sputnik8;2
565;1088373;Тюменский государственный университет ФГАОУ ВО;95
566;813458;Группа компаний АГРОЭКО;26
567;973282;Аэроприбор-Восход;1
568;4340314;FINCH Mobile;1
569;31110;Випсервис;1
570;587696;Энсайн (Nsign.ru);1
571;171758;ФГУП РСВО;1
572;5266429;Бюро 1440;1
573;10422;Роза Хутор;1
574;1938956;Хокинг Бразерс;23
575;861271;ИСЕРВ;107
576;618292;FIX;88
577;1555821;DLS;88
578;1005038;Viber;1002
579;4309;Ингосстрах;1
580;2052886;СПб ГКУ Управление информационных технологий и связи;2
581;4792339;Liepa Limited;236
582;5022461;Schaffhausen Institute of Technology;1
583;5805301;Военный комиссариат г. Всеволожска Всеволожского района Ленинградской области;1990
584;574525;Сфера Менеджмент;22
585;2190999;ВБК;22
586;1864706;Интерактивная Бурятия;20
587;582476;Альтерра, ТГ;11
588;49631;Красноярский завод холодильников Бирюса;54
589;2890767;Сеть магазинов Акварель;1240
590;832859;Карат, НПО;3
591;5205281;Меньшиков HR;3
592;3206847;Гурман;131
593;802558;ECOMMPAY IT;1
594;2114;Деловые Решения и Технологии (ДРТ);1
595;241845;СамараНИПИнефть;78
596;988480;Шеф Маркет;1
597;3833791;Just AI;2
598;60910;Пневмостроймашина, АО (PSM-HYDRAULICS);3
599;8063;Курьер Сервис Экспресс;1
600;58500;Содружество, Группа компаний;41
601;2575;Бэнкс Софт Системс;1
602;1152604;Аврора;212
603;3529356;МКУ АСУДД г. Казани;88
604;1189690;Компания В.И.К.;53
605;993835;Интернет бутик Bosco;1
606;3565331;S8 Capital;1
607;2739341;Mediascope;1
608;24241;Группа компаний Стильные кухни;113
609;24209;СберЛизинг;1
610;586;Банк Русский Стандарт;1
611;5643213;НОВАРДИС КОНСАЛТИНГ;40
612;780654;Lamoda;1
613;53417;Henderson;1
614;136929;Иви;1
615;4320616;Хайлер;58
616;946607;СБЕРКОРУС;2
617;726907;Рэдком-Интернет;102
618;567698;Истлэнд, ГК;35
619;1529090;Аксесс-А.С.К.;102
620;3094645;Штрихкод-Сервис;47
621;4697170;Спутниковая Связь;54
622;584317;НПФ Гранч;4
623;1668562;Orbicom, ТОО;160
624;1567355;Айкомплекс;1240
625;1407971;Российская государственная библиотека;1
626;100424;РОСЭЛТОРГ;1
627;2337475;Тьюбоскан;1
628;98778;Esterk Lux Parfum;1
629;180919;SmartHead;88
630;1041584;Roonyx;76
631;2264;Центр разработки Orion Innovation (ранее MERA);66
632;5451872;Умная мойка;1
633;553714;NOTAMEDIA;1
634;2076464;Где мои дети;72
635;4804;Teleperformance Russia;1
636;66235;Новосибхимфарм;4
637;7452;РТСофт;1
638;1904877;АРБИС;14
